GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E-commerce Shop,com.example.shop,OrderItem,0,38,0,4,0,11,0,5,0,3
E-commerce Shop,com.example.shop,PaymentValidator,0,25,0,5,0,7,0,5,0,2
E-commerce Shop,com.example.shop,OrderStatus,0,21,0,0,0,4,0,1,0,1
E-commerce Shop,com.example.shop,DiscountService,0,34,0,8,0,8,0,7,0,2
E-commerce Shop,com.example.shop,Order,0,36,0,2,0,11,0,6,0,5
E-commerce Shop,com.example.shop,OrderService,0,51,0,2,0,12,0,3,0,2
E-commerce Shop,com.example.shop,PricingService,0,43,0,6,0,11,0,6,0,3
